Scenario,Illuminance(lux),FanEnergy(kBtu),HeatingEnergy(kBtu),CoolingEnergy(kBtu),FanEnergy(kBtu/sf),HeatingEnergy(kBtu/sf),CoolingEnergy(kBtu/sf),FanCost($),HeatingCost($),CoolingCost($),FanCost($/sf),HeatingCost($/sf),CoolingCost($/sf),AnnualEnergy(kBtu),AnnualEnergy(kBtu/sf),AnnualCost($),AnnualCost($/sf)
1,17883055.31,1952.94,99255.59,4463.11,0.81,41.36,1.86,75.21,813.9,171.87,0.03,0.34,0.07,105671.64,44.03,1060.97,0.44
2,17883055.31,1997.12,95717.19,5494.41,0.83,39.88,2.29,76.91,784.88,211.59,0.03,0.33,0.09,103208.72,43.0,1073.38,0.45
3,17883055.31,2048.08,92588.41,6520.17,0.85,38.58,2.72,78.87,759.22,251.09,0.03,0.32,0.1,101156.67,42.15,1089.18,0.45
4,18555070.1,2108.89,89572.92,7619.66,0.88,37.32,3.17,81.21,734.5,293.43,0.03,0.31,0.12,99301.46,41.38,1109.14,0.46
5,19227229.59,2179.21,86664.56,8789.6,0.91,36.11,3.66,83.92,710.65,338.48,0.03,0.3,0.14,97633.38,40.68,1133.05,0.47
6,19227229.59,2254.35,84028.61,9955.46,0.94,35.01,4.15,86.81,689.03,383.38,0.04,0.29,0.16,96238.43,40.1,1159.23,0.48
7,19227229.59,2335.07,81567.81,11140.77,0.97,33.99,4.64,89.92,668.86,429.03,0.04,0.28,0.18,95043.64,39.6,1187.8,0.49
8,17883055.31,2053.9,106390.66,4369.99,0.86,44.33,1.82,79.09,872.4,168.29,0.03,0.36,0.07,112814.55,47.01,1119.78,0.47
9,17883055.31,2093.46,102809.81,5362.44,0.87,42.84,2.23,80.62,843.04,206.5,0.03,0.35,0.09,110265.71,45.94,1130.16,0.47
10,17883055.31,2140.33,99646.78,6353.77,0.89,41.52,2.65,82.42,817.1,244.68,0.03,0.34,0.1,108140.88,45.06,1144.21,0.48
11,18555070.1,2196.91,96565.62,7423.13,0.92,40.24,3.09,84.6,791.84,285.86,0.04,0.33,0.12,106185.66,44.24,1162.3,0.48
12,19227229.59,2263.41,93583.01,8568.93,0.94,38.99,3.57,87.16,767.38,329.99,0.04,0.32,0.14,104415.34,43.51,1184.53,0.49
13,19227229.59,2334.36,90880.85,9705.89,0.97,37.87,4.04,89.9,745.22,373.77,0.04,0.31,0.16,102921.1,42.88,1208.89,0.5
